# Buffon's needle experiment - Monte Carlo estimation of pi
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: N_throws = 10000
# Needle length: L = 1
# Distance between lines: d = 1.2
# Columns:
# 1) block index
# 2) pi estimate in the block
# 3) progressive mean of pi
# 4) progressive statistical uncertainty

1 3.12168 3.12168 0
2 3.1293 3.12549 0.00380979
3 3.12344 3.12481 0.00230375
4 3.13401 3.12711 0.00281889
5 3.11119 3.12393 0.00385987
6 3.13224 3.12531 0.00344298
7 3.06654 3.11692 0.00888541
8 3.17884 3.12466 0.0109147
9 3.10887 3.1229 0.00978431
10 3.09444 3.12006 0.00920253
11 3.19898 3.12723 0.0109892
12 3.16917 3.13073 0.010623
13 3.22186 3.13774 0.0120261
14 3.18188 3.14089 0.0115718
15 3.14347 3.14106 0.0107742
16 3.1252 3.14007 0.010127
17 3.10424 3.13796 0.00974332
18 3.12227 3.13709 0.00922737
19 3.15537 3.13805 0.00878109
20 3.15298 3.1388 0.00836385
21 3.13107 3.13843 0.00796413
22 3.11585 3.1374 0.00766257
23 3.17763 3.13915 0.00752782
24 3.15179 3.13968 0.00722655
25 3.13401 3.13945 0.00693517
26 3.13048 3.13911 0.00667203
27 3.10655 3.1379 0.00653239
28 3.1176 3.13718 0.00633641
29 3.13932 3.13725 0.00611445
30 3.16016 3.13801 0.00595627
31 3.14051 3.13809 0.00576149
32 3.09043 3.13661 0.005774
33 3.17038 3.13763 0.0056891
34 3.16676 3.13849 0.00558535
35 3.12168 3.13801 0.00544463
36 3.1054 3.1371 0.0053682
37 3.20205 3.13885 0.00550829
38 3.15119 3.13918 0.0053712
39 3.1211 3.13872 0.00525217
40 3.15239 3.13906 0.00513057
41 3.16016 3.13957 0.00503027
42 3.17945 3.14052 0.005
43 3.10945 3.1398 0.00493552
44 3.14762 3.13998 0.00482532
45 3.15 3.1402 0.00472213
46 3.13519 3.14009 0.00461962
47 3.2144 3.14167 0.00478879
48 3.11701 3.14116 0.00471602
49 3.11236 3.14057 0.00465603
50 3.1953 3.14166 0.00469142
51 3.09732 3.1408 0.00468
52 3.14465 3.14087 0.00458972
53 3.174 3.14149 0.00454548
54 3.16436 3.14192 0.00448055
55 3.15537 3.14216 0.00440513
56 3.20328 3.14325 0.0044613
57 3.14644 3.14331 0.00438269
58 3.11643 3.14285 0.00433133
