# Monte Carlo estimation of the integral using importance sampling with pdf (1+π/4)-(π/2)*x
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: L = 10000
# Columns:
# 1) block index
# 2) I estimate in the block
# 3) progressive mean of I
# 4) progressive statistical uncertainty

1 1.00126 1.00126 0
2 0.999616 1.00044 0.000820426
3 1.00009 1.00032 0.000487281
4 1.00083 1.00045 0.000367498
5 0.999288 1.00022 0.000367464
6 0.996468 0.999593 0.000693218
7 0.998915 0.999496 0.000593818
8 1.00038 0.999606 0.000525942
9 1.00126 0.99979 0.000498932
10 1.00148 0.999958 0.000477067
11 0.999886 0.999952 0.000431573
12 1.0011 1.00005 0.000405451
13 1.00029 1.00007 0.000373438
14 1.00149 1.00017 0.000360362
15 0.996538 0.999926 0.000413663
16 0.997685 0.999786 0.00041151
17 1.00009 0.999804 0.000386967
18 0.999389 0.999781 0.000365566
19 1.00051 0.999819 0.000347887
20 0.99831 0.999744 0.000338546
21 0.999572 0.999736 0.000322125
22 0.999905 0.999743 0.00030723
23 0.998757 0.9997 0.000296684
24 0.999446 0.99969 0.000284251
25 1.00138 0.999757 0.000280874
26 1.00101 0.999805 0.000274097
27 0.999306 0.999787 0.000264396
28 0.999362 0.999772 0.000255231
29 0.999507 0.999762 0.000246442
30 0.996637 0.999658 0.000259887
31 1.00277 0.999759 0.00027064
32 1.0013 0.999807 0.000266437
33 0.999782 0.999806 0.000258238
34 1.00013 0.999816 0.000250712
35 1.00145 0.999862 0.000247888
36 0.997693 0.999802 0.000248324
37 1.00062 0.999824 0.000242537
38 0.997939 0.999775 0.000241224
39 1.00023 0.999786 0.000235253
40 0.999798 0.999787 0.000229296
41 1.0005 0.999804 0.000224309
42 0.999621 0.9998 0.000218947
43 1.00007 0.999806 0.000213886
44 0.999366 0.999796 0.000209208
45 0.998699 0.999772 0.000205954
46 1.00106 0.9998 0.000203377
47 1.00002 0.999804 0.000199057
48 1.00114 0.999832 0.000196832
49 1.00016 0.999839 0.00019289
50 0.998812 0.999818 0.000190106
51 1.00075 0.999837 0.000187232
52 1.00115 0.999862 0.000185321
53 1.00081 0.99988 0.000182663
54 1.00073 0.999895 0.000179939
55 0.998922 0.999878 0.000177521
56 1.00015 0.999883 0.000174389
57 1.00023 0.999889 0.00017141
58 0.998453 0.999864 0.000170238
59 0.999969 0.999866 0.000167338
60 1.00041 0.999875 0.000164777
61 0.998722 0.999856 0.00016315
62 1.00068 0.999869 0.000161045
63 1.00037 0.999877 0.00015867
64 0.998423 0.999854 0.000157816
65 0.998295 0.99983 0.000157209
66 1.0011 0.99985 0.000155999
67 0.9994 0.999843 0.0001538
68 1.00048 0.999852 0.000151813
69 0.999818 0.999852 0.000149598
70 0.999886 0.999852 0.000147446
71 1.00074 0.999865 0.000145897
72 1.00039 0.999872 0.00014404
73 1.00086 0.999886 0.0001427
74 1.00024 0.99989 0.000140839
75 0.997803 0.999863 0.000141709
76 0.99926 0.999855 0.000140057
77 0.999528 0.99985 0.000138291
78 0.999812 0.99985 0.000136507
79 0.999684 0.999848 0.000134785
80 0.999074 0.999838 0.000133441
81 1.0016 0.99986 0.000133562
82 1.00144 0.999879 0.000133322
83 0.999793 0.999878 0.00013171
84 1.00087 0.99989 0.000130665
85 0.9997 0.999888 0.000129138
86 0.998747 0.999874 0.000128315
87 1.00073 0.999884 0.00012721
88 0.999293 0.999878 0.000125936
89 0.998523 0.999862 0.00012544
90 1.0008 0.999873 0.000124478
91 0.999414 0.999868 0.000123206
92 0.996898 0.999835 0.000126061
93 1.00198 0.999858 0.000126808
94 1.00058 0.999866 0.000125686
95 1.00017 0.999869 0.000124396
96 1.0014 0.999885 0.000124117
97 0.999424 0.99988 0.000122923
98 1.00146 0.999897 0.000122728
99 1.00147 0.999913 0.000122523
100 0.998559 0.999899 0.000122045
101 1.00178 0.999918 0.000122255
102 1.00025 0.999921 0.000121096
103 1.00047 0.999926 0.000120035
104 0.99888 0.999916 0.0001193
105 0.999876 0.999916 0.000118159
106 1.00114 0.999927 0.00011761
107 0.999749 0.999926 0.000116518
108 1.00177 0.999943 0.000116686
109 1.00187 0.99996 0.000116953
110 0.998378 0.999946 0.000116774
111 0.99966 0.999944 0.000115746
112 0.999966 0.999944 0.000114708
113 0.999338 0.999938 0.000113814
114 1.00142 0.999951 0.000113554
115 0.998648 0.99994 0.000113131
116 0.999738 0.999938 0.000112165
117 1.00196 0.999955 0.000112531
118 0.999735 0.999954 0.000111589
119 1.00048 0.999958 0.000110734
120 0.999833 0.999957 0.000109812
121 1.0008 0.999964 0.000109122
122 1.0014 0.999976 0.000108859
