# Monte Carlo estimation of the integral using uniform sampling in [0,1)
# Total number of throws: M = 10000000
# Number of blocks: N = 1000
# Throws per block: L = 10000
# Columns:
# 1) block index
# 2) I estimate in the block
# 3) progressive mean of I
# 4) progressive statistical uncertainty

1 0.997939 0.997939 0
2 0.993163 0.995551 0.00238771
3 1.00722 0.999441 0.00412719
4 0.997056 0.998845 0.00297865
5 0.990179 0.997112 0.00288568
6 0.992251 0.996302 0.00249151
7 0.994253 0.996009 0.00212596
8 0.999085 0.996393 0.00188084
9 1.0049 0.997339 0.00190912
10 0.997153 0.99732 0.00170767
11 1.003 0.997836 0.0016287
12 1.00211 0.998193 0.00152892
13 0.993088 0.9978 0.00146019
14 1.00022 0.997973 0.0013629
15 1.00033 0.99813 0.00127845
16 1.00766 0.998726 0.00133601
17 0.996188 0.998576 0.00126381
18 1.00265 0.998803 0.00121284
19 0.99656 0.998685 0.00115329
20 0.993078 0.998404 0.00112944
21 0.995545 0.998268 0.00108291
22 1.00033 0.998362 0.00103677
23 1.00901 0.998825 0.00109355
24 0.994406 0.998641 0.00106306
25 0.991411 0.998352 0.00105987
26 1.00203 0.998493 0.00102806
27 0.986529 0.99805 0.00108396
28 0.989513 0.997745 0.00108812
29 0.996961 0.997718 0.00105028
30 0.998421 0.997742 0.00101493
31 0.998991 0.997782 0.000982476
32 1.00531 0.998017 0.000979903
33 1.00668 0.99828 0.000985372
34 1.00298 0.998418 0.000965891
35 1.00505 0.998607 0.000956812
36 0.994413 0.998491 0.000937124
37 0.995357 0.998406 0.000915371
38 1.00024 0.998454 0.000892262
39 0.993813 0.998335 0.000877192
40 1.00138 0.998411 0.000858359
41 0.997471 0.998388 0.000837476
42 0.996052 0.998333 0.000819183
43 1.0011 0.998397 0.000802483
44 1.00768 0.998608 0.000811915
45 0.990002 0.998417 0.000816382
46 1.00193 0.998493 0.000802075
47 1.00795 0.998694 0.000810183
48 1.01045 0.998939 0.000830054
49 1.00126 0.998986 0.000814314
50 0.99687 0.998944 0.000798984
51 1.00616 0.999085 0.000795846
52 0.997632 0.999057 0.000780891
53 1.00065 0.999088 0.000766607
54 1.00893 0.99927 0.000774044
55 0.994759 0.999188 0.000764253
56 0.99712 0.999151 0.00075139
57 1.00109 0.999185 0.000738874
58 0.998542 0.999174 0.000726108
59 0.99725 0.999141 0.000714439
60 1.0019 0.999187 0.00070393
61 1.00463 0.999276 0.00069803
62 1.00362 0.999346 0.000690238
63 1.00503 0.999437 0.00068516
64 1.00125 0.999465 0.000674961
65 1.00481 0.999547 0.000669565
66 1.00022 0.999557 0.000659422
67 1.00292 0.999608 0.000651436
68 0.993609 0.999519 0.000647819
69 1.00284 0.999568 0.000640176
70 0.992538 0.999467 0.000638906
71 0.999011 0.999461 0.000629876
72 0.997278 0.99943 0.000621805
73 0.999266 0.999428 0.000613232
74 0.997773 0.999406 0.000605302
75 0.998622 0.999395 0.000597268
76 0.998904 0.999389 0.000589392
77 1.00099 0.99941 0.00058206
78 1.00282 0.999453 0.000576211
79 1.00555 0.999531 0.000574079
80 0.998285 0.999515 0.000567072
81 0.999431 0.999514 0.000560028
82 1.00511 0.999582 0.000557346
83 1.00348 0.999629 0.00055259
84 1.00529 0.999696 0.00055011
85 1.00623 0.999773 0.000549
86 1.00382 0.99982 0.000544619
87 0.996079 0.999777 0.000540038
88 0.997685 0.999754 0.000534395
89 0.998213 0.999736 0.00052864
90 1.00532 0.999798 0.000526396
91 0.990132 0.999692 0.000531306
92 0.998691 0.999681 0.000525612
93 1.00601 0.999749 0.000524367
94 0.998502 0.999736 0.000518928
95 0.9973 0.99971 0.000514077
96 0.99047 0.999614 0.000517719
97 1.00449 0.999664 0.000514811
98 0.998676 0.999654 0.000509631
99 1.00373 0.999695 0.000506138
100 1.00116 0.99971 0.000501266
101 1.00387 0.999751 0.000497988
102 1.00304 0.999784 0.000494136
103 0.998041 0.999767 0.000489607
104 1.0001 0.99977 0.000484888
105 0.997597 0.999749 0.000480693
106 1.0098 0.999844 0.000485485
107 0.990001 0.999752 0.000489645
108 1.00856 0.999834 0.000491898
109 1.00721 0.999901 0.000492034
110 1.00236 0.999924 0.000488052
111 1.00304 0.999952 0.000484448
112 0.999707 0.999949 0.000480108
113 0.997588 0.999929 0.000476299
114 1.00272 0.999953 0.000472737
115 1.0012 0.999964 0.000468733
116 1.00711 1.00003 0.000468738
117 0.998399 1.00001 0.000464922
118 0.992682 0.999949 0.000465131
119 0.995541 0.999912 0.000462691
120 0.999819 0.999912 0.00045882
121 0.999382 0.999907 0.000455033
122 1.00335 0.999935 0.00045217
123 1.00375 0.999966 0.000449549
124 1.00365 0.999996 0.000446899
125 1.00132 1.00001 0.000443436
126 1.0042 1.00004 0.000441162
127 1.01057 1.00012 0.000445454
128 1.00392 1.00015 0.000442953
129 0.998061 1.00014 0.000439805
130 0.999765 1.00013 0.000436418
131 0.993025 1.00008 0.00043646
132 0.996788 1.00005 0.000433858
133 1.00002 1.00005 0.000430584
134 0.997547 1.00004 0.000427768
135 0.998435 1.00002 0.000424753
136 0.999428 1.00002 0.000421641
137 0.998818 1.00001 0.000418644
138 0.992721 0.999958 0.000418942
139 1.00098 0.999965 0.000415982
140 0.999088 0.999959 0.000413047
141 0.999327 0.999954 0.000410132
142 1.00216 0.99997 0.000407528
143 1.01054 1.00004 0.000411359
144 0.996022 1.00002 0.000409445
145 1.00633 1.00006 0.000408941
146 0.99996 1.00006 0.000406131
147 0.997487 1.00004 0.000403738
148 0.993603 0.999998 0.000403353
149 0.999928 0.999997 0.000400637
150 1.00698 1.00004 0.000400668
151 1.00442 1.00007 0.000399059
152 1.00115 1.00008 0.000396488
153 1.00611 1.00012 0.000395856
154 0.995983 1.00009 0.000394194
155 1.01025 1.00016 0.000397092
156 0.995719 1.00013 0.000395564
157 1.00143 1.00014 0.000393123
158 0.998768 1.00013 0.000390723
159 0.998571 1.00012 0.000388381
160 0.999122 1.00011 0.000385997
161 1.00042 1.00011 0.000383596
162 0.993534 1.00007 0.000383379
163 1.00483 1.0001 0.000382137
164 1.00714 1.00015 0.000382213
165 1.00497 1.00018 0.000381013
166 1.00508 1.00021 0.000379862
167 1.00074 1.00021 0.000377594
168 1.00193 1.00022 0.00037548
169 1.0023 1.00023 0.000373454
170 0.998259 1.00022 0.000371431
171 1.00065 1.00022 0.000369262
172 0.997204 1.0002 0.000367527
173 1.00557 1.00024 0.000366709
174 1.00237 1.00025 0.000364802
175 0.995764 1.00022 0.000363615
176 0.995268 1.00019 0.000362637
177 0.990252 1.00014 0.000364931
178 1.0025 1.00015 0.000363118
179 1.00511 1.00018 0.000362147
180 1.00169 1.00019 0.000360227
181 0.992189 1.00014 0.000360946
182 1.00499 1.00017 0.000359943
183 0.996256 1.00015 0.000358609
184 1.00662 1.00018 0.000358386
185 1.00035 1.00018 0.000356445
186 1.00516 1.00021 0.00035553
187 1.00242 1.00022 0.000353821
188 0.993569 1.00019 0.000353709
189 0.989159 1.00013 0.000356639
190 0.992597 1.00009 0.000356965
191 1.00625 1.00012 0.000356551
192 1.00163 1.00013 0.000354776
193 1.00013 1.00013 0.000352933
194 0.99767 1.00012 0.000351338
195 1.00379 1.00014 0.000350039
196 1.00484 1.00016 0.000349074
197 1.00109 1.00016 0.000347329
198 0.994708 1.00014 0.000346668
199 0.996558 1.00012 0.00034539
200 1.00398 1.00014 0.000344201
201 0.998632 1.00013 0.000342566
202 0.997361 1.00012 0.000341142
203 0.994554 1.00009 0.000340561
204 0.997596 1.00008 0.000339108
205 0.999942 1.00008 0.00033745
206 1.0031 1.00009 0.000336129
207 1.0039 1.00011 0.000335007
208 1.00142 1.00012 0.000333451
209 1.00201 1.00012 0.000331976
210 0.994558 1.0001 0.000331453
211 0.996626 1.00008 0.000330289
212 0.993133 1.00005 0.000330358
213 1.00647 1.00008 0.00033018
214 0.998457 1.00007 0.000328721
215 1.00181 1.00008 0.000327288
216 0.992467 1.00004 0.00032767
217 0.99919 1.00004 0.00032618
218 0.991391 1 0.000327096
219 1.00415 1.00002 0.00032615
220 1.0021 1.00003 0.000324802
221 1.00466 1.00005 0.000324007
222 0.998167 1.00004 0.000322656
223 1.00622 1.00007 0.0003224
224 1.00488 1.00009 0.000321676
225 0.992582 1.00006 0.000321977
226 1.00726 1.00009 0.000322129
227 0.995639 1.00007 0.000321306
228 0.991262 1.00003 0.000322217
229 0.997444 1.00002 0.000321006
230 1.00211 1.00003 0.000319736
231 0.99706 1.00002 0.000318608
232 1.00561 1.00004 0.000318147
233 0.997108 1.00003 0.000317028
234 1.00679 1.00006 0.000316991
235 1.00176 1.00006 0.000315723
236 0.995515 1.00004 0.000314972
237 0.997599 1.00003 0.00031381
238 1.00679 1.00006 0.000313774
239 0.994035 1.00004 0.000313475
240 1.0072 1.00007 0.000313587
241 0.988783 1.00002 0.000315774
242 0.995976 1 0.00031491
243 0.992034 0.999971 0.000315321
244 0.999113 0.999967 0.000314046
245 1.0094 1.00001 0.000315124
246 0.997558 0.999996 0.000313998
247 1.00218 1 0.00031285
248 1.00086 1.00001 0.000311605
249 1.0022 1.00002 0.000310475
250 1.00506 1.00004 0.000309889
251 1.00093 1.00004 0.000308673
252 1.00357 1.00005 0.000307765
253 1.00029 1.00006 0.000306547
254 1.00067 1.00006 0.000305348
255 0.998997 1.00005 0.000304177
256 0.995535 1.00004 0.0003035
257 1.00038 1.00004 0.000302319
258 1.00189 1.00004 0.000301231
259 0.993168 1.00002 0.000301238
260 0.998993 1.00001 0.000300103
261 0.996897 1 0.000299189
262 0.999865 1 0.000298046
263 1.0063 1.00003 0.000297874
264 0.999642 1.00002 0.000296748
265 1.01122 1.00007 0.000298631
266 1.00466 1.00008 0.000298006
267 0.993621 1.00006 0.000297873
268 1.00446 1.00008 0.000297214
269 0.995042 1.00006 0.000296698
270 0.999111 1.00005 0.000295618
271 1.00247 1.00006 0.00029466
272 1.00509 1.00008 0.000294156
273 1.01109 1.00012 0.000295838
274 0.996462 1.00011 0.000295059
275 1.00517 1.00013 0.00029456
276 1.00315 1.00014 0.000293695
277 0.999959 1.00014 0.000292633
278 0.999985 1.00014 0.000291579
279 1.00043 1.00014 0.000290534
280 1.00268 1.00015 0.000289638
281 0.989179 1.00011 0.000291232
282 1.00247 1.00012 0.000290319
283 0.993844 1.00009 0.000290139
284 0.992941 1.00007 0.00029021
285 1.00721 1.00009 0.000290274
286 1.00759 1.00012 0.000290443
287 1.00078 1.00012 0.000289439
288 0.988273 1.00008 0.000291351
289 1.00304 1.00009 0.000290522
290 1.00886 1.00012 0.000291094
