# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 1.72809 1.72809 0 5.0351 5.0351 0
2 1.45229 1.59019 0.1379 5.15521 5.09515 0.0600533
3 1.52575 1.56871 0.0824636 4.60811 4.93281 0.166008
4 1.81338 1.62988 0.0845079 4.50403 4.82561 0.158964
5 1.66876 1.63766 0.0659198 4.62394 4.78528 0.129571
6 1.42144 1.60162 0.0647731 4.7058 4.77203 0.10662
7 1.75448 1.62346 0.0589382 4.54488 4.73958 0.0957759
8 1.46023 1.60305 0.0549691 4.80788 4.74812 0.0833825
9 1.57741 1.6002 0.0485619 4.85541 4.76004 0.0744964
10 1.35482 1.57567 0.0498872 4.52724 4.73676 0.0705815
11 1.44529 1.56381 0.0466552 5.00223 4.76089 0.0682525
12 1.51137 1.55944 0.0428138 4.56118 4.74425 0.0644902
13 1.43045 1.54952 0.0406137 5.42107 4.79631 0.0789287
14 1.5414 1.54894 0.0376055 5.60209 4.85387 0.0930184
15 1.40512 1.53935 0.0362981 5.27291 4.88181 0.0909901
16 1.36056 1.52818 0.0357452 5.30769 4.90842 0.0891784
17 1.56522 1.53036 0.0336474 4.86195 4.90569 0.0838131
18 1.47237 1.52714 0.0318862 4.91153 4.90601 0.0790204
19 1.62924 1.53251 0.0306364 5.00223 4.91108 0.0749172
20 1.43925 1.52785 0.0294359 4.64146 4.8976 0.0723399
21 1.44505 1.5239 0.0282754 5.17659 4.91088 0.0700797
22 1.57574 1.52626 0.0270623 4.8564 4.90841 0.0668643
23 1.60156 1.52953 0.0260653 4.71641 4.90006 0.064434
24 1.26393 1.51847 0.0272994 5.16623 4.91115 0.0626799
25 1.54753 1.51963 0.0262105 5.43227 4.93199 0.0636316
26 1.65742 1.52493 0.0257339 4.75758 4.92529 0.0615022
27 1.75876 1.53359 0.0262332 5.19303 4.9352 0.0600055
28 1.46764 1.53123 0.0253885 5.18241 4.94403 0.0584929
29 1.54365 1.53166 0.0245011 4.69817 4.93555 0.0570731
30 1.59468 1.53376 0.0237633 4.63226 4.92544 0.0560571
31 1.40502 1.52961 0.0233562 5.16125 4.93305 0.0547496
32 1.53861 1.52989 0.0226163 4.5472 4.92099 0.0543652
33 1.45148 1.52752 0.0220486 4.68172 4.91374 0.0531885
34 1.69025 1.5323 0.0219193 4.67016 4.90658 0.0520954
35 1.34785 1.52703 0.0219265 5.1179 4.91261 0.0509441
36 1.41457 1.52391 0.0215365 5.26945 4.92253 0.0504913
37 1.44603 1.5218 0.0210519 5.24747 4.93131 0.0498868
38 1.65666 1.52535 0.0207954 4.98954 4.93284 0.0485804
39 1.55623 1.52614 0.0202706 5.18696 4.93936 0.0477649
40 1.4887 1.52521 0.0197795 4.97832 4.94033 0.0465656
41 1.41642 1.52255 0.0194727 4.99738 4.94172 0.045437
42 1.38248 1.51922 0.0192939 4.58988 4.93335 0.0451263
43 1.52804 1.51942 0.018841 5.68363 4.95079 0.0473932
44 1.59739 1.5212 0.0184929 4.8942 4.94951 0.0463214
45 1.39028 1.51829 0.0183098 4.56474 4.94096 0.0460806
46 1.58815 1.51981 0.0179717 5.21916 4.94701 0.0454717
47 1.49862 1.51935 0.0175909 5.02932 4.94876 0.0445282
48 1.50994 1.51916 0.0172217 5.4274 4.95873 0.0447167
49 1.62303 1.52128 0.0169992 5.12744 4.96217 0.0439297
50 1.56795 1.52221 0.0166819 4.94507 4.96183 0.0430435
51 1.49824 1.52174 0.0163583 5.40745 4.97057 0.0430864
52 1.42952 1.51997 0.0161384 5.30968 4.97709 0.04275
53 1.37466 1.51723 0.0160666 5.12238 4.97983 0.0420251
54 1.39492 1.51496 0.0159281 5.65838 4.9924 0.0431114
55 1.72974 1.51887 0.0161161 4.25057 4.97891 0.0444177
56 1.51185 1.51874 0.0158262 4.72364 4.97435 0.0438548
57 1.33528 1.51552 0.0158757 4.72216 4.96993 0.0433052
58 1.49451 1.51516 0.0156038 4.75701 4.96625 0.04271
59 1.37719 1.51282 0.0155143 4.60141 4.96007 0.0424329
60 1.58153 1.51397 0.0152965 5.12435 4.96281 0.0418095
61 1.29889 1.51044 0.0154513 5.45649 4.9709 0.0419072
62 1.42492 1.50906 0.0152625 4.60021 4.96492 0.0416571
63 1.66822 1.51159 0.0152293 4.80271 4.96235 0.0410713
64 1.56309 1.51239 0.015011 5.15176 4.96531 0.0405327
65 1.28355 1.50887 0.0151918 4.53313 4.95866 0.0404543
66 1.41308 1.50742 0.0150301 5.59176 4.96825 0.0409753
67 1.41394 1.50603 0.0148697 4.75382 4.96505 0.0404858
68 1.72528 1.50925 0.015 4.72648 4.96154 0.04004
