# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.5195
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.5015
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 20 20 0 20.4115 20.4115 0
2 19.8725 19.9363 0.0637342 19.557 19.9842 0.427282
3 18.934 19.6022 0.336105 16.1999 18.7228 1.28534
4 18.5845 19.3478 0.348159 18.1377 18.5765 0.920565
5 18.4894 19.1761 0.319687 19.2292 18.7071 0.724914
6 17.9815 18.977 0.328291 19.2292 18.7941 0.598252
7 17.8685 18.8186 0.319469 19.2292 18.8562 0.509421
8 17.8685 18.6999 0.301084 19.1372 18.8914 0.442568
9 17.3391 18.5487 0.305561 19.1372 18.9187 0.391263
10 17.3391 18.4277 0.298872 19.1372 18.9405 0.350638
11 17.5651 18.3493 0.281484 17.3819 18.7988 0.347374
12 17.6813 18.2936 0.262919 18.1552 18.7452 0.321611
13 17.6813 18.2465 0.246394 17.8148 18.6736 0.304374
14 17.8997 18.2217 0.229457 17.932 18.6207 0.286731
15 17.3119 18.1611 0.222059 16.5818 18.4847 0.299546
16 17.3119 18.108 0.21439 17.8922 18.4477 0.282636
17 17.3119 18.0612 0.206758 18.4274 18.4465 0.265493
18 17.0138 18.003 0.203433 18.4274 18.4454 0.250312
19 14.8915 17.8392 0.252681 18.4274 18.4445 0.236773
20 14.9468 17.6946 0.279962 19.232 18.4839 0.228048
21 14.4482 17.54 0.307916 19.232 18.5195 0.219823
22 14.4482 17.3995 0.32549 18.3426 18.5115 0.209747
23 13.627 17.2355 0.351617 17.5802 18.471 0.204469
24 13.627 17.0851 0.368698 12.8148 18.2353 0.306376
25 13.2749 16.9327 0.385086 13.7827 18.0572 0.343625
26 13.8273 16.8133 0.388779 13.7827 17.8928 0.368814
27 13.9497 16.7072 0.388846 13.7827 17.7406 0.386161
28 13.9497 16.6087 0.387428 12.4622 17.5521 0.41714
29 13.5548 16.5034 0.388379 12.9794 17.3944 0.432281
30 13.1832 16.3927 0.391192 11.6427 17.2027 0.459529
31 13.1832 16.2892 0.392272 11.6427 17.0233 0.479282
32 13.1832 16.1921 0.392022 11.6427 16.8552 0.493586
33 13.278 16.1038 0.390084 12.0702 16.7102 0.499886
34 13.2457 16.0198 0.387661 12.0702 16.5737 0.503797
35 12.7228 15.9256 0.38803 12.0702 16.445 0.50583
36 13.5061 15.8584 0.38304 13.6633 16.3677 0.497614
37 13.5061 15.7948 0.377929 13.6633 16.2947 0.489467
38 13.5061 15.7346 0.372747 15.9196 16.2848 0.476514
39 13.1783 15.669 0.368933 15.1779 16.2564 0.465002
40 14.0799 15.6293 0.361779 15.0437 16.2261 0.454241
41 14.0799 15.5915 0.354863 15.9102 16.2184 0.44309
42 13.8408 15.5498 0.34881 15.9102 16.211 0.432474
43 13.3895 15.4996 0.344287 15.9102 16.204 0.422355
44 13.3895 15.4516 0.339773 15.9102 16.1974 0.412698
