# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.494
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.4985
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 0 0 0 2.44839 2.44839 0
2 0 0 0 2.44839 2.44839 0
3 0 0 0 2.36585 2.42088 0.0275128
4 0 0 0 2.36585 2.40712 0.0238268
5 0 0 0 2.36585 2.39887 0.0202177
6 0 0 0 2.36585 2.39337 0.0174006
7 0.230772 0.0329675 0.0329675 2.36585 2.38944 0.0152224
8 0.230772 0.0576931 0.037769 2.7256 2.43146 0.0440401
9 1.20321 0.184973 0.131566 2.7256 2.46414 0.0507611
10 0.61222 0.227698 0.125192 2.7256 2.49029 0.0523925
11 0.61222 0.262654 0.118513 4.32225 2.65683 0.173154
12 0.73332 0.301876 0.115078 4.32225 2.79561 0.210349
13 0.73332 0.335064 0.110937 4.32225 2.91305 0.226341
14 1.00669 0.383038 0.113359 3.80238 2.97657 0.218967
15 1.00669 0.424614 0.113426 3.80238 3.03162 0.211151
16 1.00669 0.460994 0.112164 4.24834 3.10767 0.211647
17 1.00669 0.493093 0.110141 3.1486 3.11008 0.198822
18 1.00669 0.521626 0.107691 3.1486 3.11222 0.187464
19 1.00669 0.547156 0.105016 3.1486 3.11413 0.177333
20 0.73247 0.556422 0.100057 3.1486 3.11586 0.168242
21 0.73247 0.564805 0.0955414 3.38508 3.12868 0.160543
22 0.73247 0.572426 0.0914134 3.38508 3.14033 0.153515
23 0.73247 0.579385 0.0876252 3.38508 3.15097 0.147074
24 0.73247 0.585763 0.0841369 3.38508 3.16073 0.14115
25 0.73247 0.591631 0.0809144 3.55843 3.17663 0.136318
26 1.57867 0.629594 0.0865141 3.55843 3.19132 0.13179
27 1.57867 0.664745 0.0903651 3.55843 3.20492 0.127542
28 1.57867 0.697385 0.0929943 3.2428 3.20627 0.12291
29 0.976562 0.707012 0.0902453 3.2428 3.20753 0.118603
30 0.55351 0.701895 0.0873352 3.2428 3.2087 0.114587
31 0.55351 0.697109 0.0846065 3.2428 3.2098 0.110835
32 0.55351 0.692621 0.0820427 3.2428 3.21084 0.10732
33 0.583854 0.689325 0.079586 3.38883 3.21623 0.104157
34 0.583854 0.686223 0.077272 3.38883 3.22131 0.101175
35 0.583854 0.683298 0.0750888 3.38883 3.22609 0.0983579
36 0.583854 0.680536 0.0730254 5.2742 3.28298 0.111236
37 0.583854 0.677923 0.0710724 5.2742 3.3368 0.120834
38 0.583854 0.675447 0.0692211 7.78974 3.45398 0.166025
39 0.583854 0.673099 0.0674637 6.55544 3.53351 0.180208
40 1.92318 0.704351 0.0728044 6.29887 3.60264 0.188761
41 1.92318 0.734078 0.0769782 6.29887 3.6684 0.195492
42 1.42195 0.750456 0.0768876 6.29887 3.73103 0.200798
43 1.27955 0.762761 0.0760799 6.29887 3.79075 0.204965
44 1.27955 0.774506 0.0752529 6.29887 3.84775 0.208207
45 1.28196 0.785783 0.074421 6.29887 3.90222 0.210691
46 0.742724 0.784847 0.0727912 7.07814 3.97126 0.217318
47 0.665691 0.782312 0.0712707 7.07814 4.03737 0.222682
48 0.665691 0.779882 0.0698124 7.07814 4.10072 0.227012
