# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.507619
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.497368
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 1.5663 1.5663 0 4.77344 4.77344 0
2 1.9317 1.749 0.1827 4.9882 4.88082 0.107383
3 1.54823 1.68207 0.12492 4.86405 4.87523 0.0622491
4 1.56568 1.65298 0.093001 5.31356 4.98481 0.118091
5 1.66253 1.65489 0.0720636 5.59648 5.10715 0.152751
6 1.46236 1.6228 0.0670206 5.08851 5.10404 0.12476
7 1.64165 1.62549 0.0567067 5.10455 5.10411 0.105441
8 1.59451 1.62162 0.0492619 4.96442 5.08665 0.0929694
9 1.47134 1.60492 0.0465432 4.94914 5.07137 0.0834027
10 1.5058 1.59501 0.0427933 4.83106 5.04734 0.0783728
11 1.49076 1.58553 0.0398513 4.95359 5.03882 0.0714014
12 1.55351 1.58286 0.0364768 4.9501 5.03142 0.0655982
13 1.47313 1.57442 0.0345992 5.35487 5.05631 0.0652697
14 1.37572 1.56023 0.0350362 5.04826 5.05573 0.0604307
15 1.38355 1.54845 0.0346785 5.10151 5.05878 0.0563407
16 1.34693 1.53585 0.034798 4.6587 5.03378 0.0583329
17 1.68088 1.54439 0.0337819 4.97728 5.03045 0.0548949
18 1.50084 1.54197 0.0319416 4.55691 5.00415 0.0580581
19 1.61283 1.5457 0.0304431 5.00401 5.00414 0.0549175
20 1.30838 1.53383 0.0312234 5.43771 5.02582 0.0564295
21 1.58376 1.53621 0.0297944 4.68499 5.00959 0.0560752
22 1.84428 1.55021 0.0316717 5.09343 5.0134 0.0536013
23 1.66885 1.55537 0.0306999 4.62314 4.99643 0.0539553
24 1.35702 1.5471 0.0305327 5.2752 5.00805 0.052948
25 1.55874 1.54757 0.0292896 5.57347 5.03066 0.0555944
26 1.44742 1.54372 0.0284029 5.12562 5.03432 0.0535381
27 1.54953 1.54393 0.0273316 5.42611 5.04883 0.0535217
28 1.52245 1.54317 0.0263486 4.3804 5.02495 0.0568318
29 1.36851 1.53714 0.0261274 5.09045 5.02721 0.0548835
30 1.56899 1.53821 0.0252638 4.78 5.01897 0.0536591
31 1.46947 1.53599 0.0245356 5.44325 5.03266 0.0536736
32 1.51557 1.53535 0.0237651 4.52964 5.01694 0.0542945
33 1.46541 1.53323 0.0231309 4.5985 5.00426 0.0541296
34 1.36281 1.52822 0.0229933 4.83215 4.9992 0.0527568
35 1.44082 1.52572 0.0224659 4.8155 4.99395 0.0514955
36 1.45569 1.52378 0.0219194 5.01457 4.99452 0.0500479
37 1.42153 1.52101 0.0214971 4.38617 4.97808 0.0513784
38 1.55293 1.52185 0.0209406 4.6282 4.96887 0.0508486
39 1.47119 1.52055 0.0204379 5.34252 4.97845 0.0504458
40 1.28932 1.51477 0.0207422 4.85703 4.97542 0.0492621
41 1.60091 1.51687 0.0203388 4.46165 4.96289 0.0496528
42 1.56461 1.51801 0.0198812 4.60214 4.9543 0.0492115
43 1.28145 1.51251 0.0201778 5.35957 4.96372 0.048969
44 1.86348 1.52049 0.0212665 4.90611 4.96241 0.047861
45 1.67275 1.52387 0.0210621 5.80005 4.98103 0.0503523
46 1.76126 1.52903 0.0212358 5.29223 4.98779 0.0497081
47 1.48351 1.52806 0.0208016 4.8384 4.98461 0.0487427
48 1.73331 1.53234 0.0208077 4.83791 4.98156 0.0478142
49 1.31933 1.52799 0.0208371 4.94151 4.98074 0.0468354
50 1.58765 1.52918 0.020451 5.27845 4.98669 0.0462738
51 1.4704 1.52803 0.0200791 5.3543 4.9939 0.0459265
52 1.39502 1.52547 0.0198546 4.96563 4.99336 0.0450379
53 1.45224 1.52409 0.0195253 4.91828 4.99194 0.0442027
54 1.53988 1.52438 0.0191626 5.07673 4.99351 0.0434048
55 1.48887 1.52374 0.018822 4.60859 4.98651 0.0431793
56 1.54704 1.52415 0.0184875 4.89218 4.98483 0.0424347
57 1.67482 1.5268 0.0183517 4.63995 4.97878 0.0421204
