# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.524
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 20)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.507
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 20 20 0 20 20 0
2 20.4929 20.2464 0.246434 18.2596 19.1298 0.870202
3 20.2187 20.2372 0.14258 16.4497 18.2364 1.02496
4 19.4125 20.031 0.229501 13.9516 17.1652 1.29335
5 18.2351 19.6718 0.40077 13.9516 16.5225 1.19028
6 17.6133 19.3287 0.474111 13.9516 16.094 1.06212
7 17.5997 19.0817 0.470711 13.9516 15.7879 0.948399
8 17.5257 18.8872 0.451674 13.3618 15.4847 0.875537
9 16.5221 18.6244 0.477216 14.2726 15.35 0.783808
10 16.5464 18.4166 0.474733 14.2726 15.2423 0.70929
11 16.8937 18.2782 0.451178 14.2726 15.1541 0.647605
12 15.965 18.0854 0.454744 13.1599 14.9879 0.614094
13 14.9426 17.8437 0.483139 13.1599 14.8473 0.582123
14 14.4824 17.6036 0.507663 13.1599 14.7268 0.552255
15 15.5579 17.4672 0.491893 11.5626 14.5158 0.555714
16 15.7368 17.359 0.472663 11.5626 14.3312 0.551619
17 15.362 17.2416 0.459267 9.00123 14.0177 0.60563
18 15.2813 17.1327 0.446486 9.00123 13.739 0.635377
19 14.1781 16.9772 0.450052 9.00123 13.4897 0.650682
20 15.0545 16.881 0.437646 8.26113 13.2282 0.670368
21 15.0545 16.7941 0.425274 7.84004 12.9717 0.687333
22 15.4517 16.733 0.410048 7.84004 12.7384 0.69562
23 15.4517 16.6773 0.395756 7.10855 12.4936 0.708326
24 15.4517 16.6263 0.382333 5.47164 12.201 0.738593
25 15.4517 16.5793 0.369718 4.60173 11.8971 0.770894
26 15.4517 16.5359 0.357852 4.60173 11.6165 0.792019
27 16.2714 16.5261 0.344482 4.60173 11.3567 0.805188
28 16.8769 16.5386 0.332188 4.60173 11.1154 0.812539
29 16.8668 16.55 0.320728 4.60173 10.8908 0.815559
30 16.8668 16.5605 0.310033 2.36864 10.6067 0.837551
31 15.7242 16.5335 0.301076 2.36864 10.341 0.852558
32 15.7242 16.5082 0.292611 2.36864 10.0919 0.862261
33 14.6439 16.4517 0.289178 3.35341 9.88767 0.860308
34 14.4092 16.3917 0.286904 3.35341 9.69548 0.856462
35 15.3123 16.3608 0.280288 3.46901 9.51758 0.850447
36 15.3123 16.3317 0.273943 3.46901 9.34957 0.843391
37 14.6579 16.2865 0.27025 4.03093 9.20582 0.83278
38 13.4075 16.2107 0.273735 4.03093 9.06964 0.821929
39 13.4075 16.1388 0.276142 4.03093 8.94044 0.810934
40 13.3992 16.0703 0.277728 2.98148 8.79147 0.804318
41 13.3992 16.0052 0.278594 3.83758 8.67064 0.793706
42 13.0908 15.9358 0.280595 4.50222 8.57139 0.78091
43 13.0908 15.8696 0.281867 4.50222 8.47676 0.768382
44 13.0908 15.8065 0.282535 6.11748 8.42314 0.752629
45 12.4719 15.7324 0.285953 6.11748 8.3719 0.737495
