# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.5235
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.509
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
1 0 0 0 1 1 0
2 0.524282 0.262141 0.262141 1 1 0
3 0.524282 0.349522 0.174761 1 1 0
4 0.524282 0.393212 0.131071 1 1 0
5 0.524282 0.419426 0.104856 1 1 0
6 0.524282 0.436902 0.0873804 1 1 0
7 0.524282 0.449385 0.0748975 3.91076 1.41582 0.415823
8 0.524282 0.458747 0.0655353 2.78556 1.58704 0.398744
9 0.664007 0.481554 0.0621338 2.78556 1.72021 0.37603
10 1.67197 0.600595 0.131375 2.78556 1.82674 0.352801
11 1.83712 0.713006 0.163577 2.78556 1.91391 0.33081
12 1.83712 0.806683 0.176276 1.99198 1.92042 0.302057
13 1.83712 0.885947 0.180487 1.99198 1.92592 0.277907
14 1.83712 0.953888 0.180382 1.99198 1.93064 0.257335
15 3.26965 1.10827 0.228109 1.99198 1.93473 0.239601
16 2.24784 1.17949 0.22495 5.02593 2.12793 0.295903
17 2.24784 1.24234 0.220451 3.28076 2.19574 0.286106
18 2.21299 1.29626 0.214724 3.28076 2.25602 0.276396
19 1.62342 1.31348 0.203837 3.28076 2.30996 0.26695
20 2.30165 1.36289 0.199589 3.28076 2.3585 0.257861
21 2.04181 1.39522 0.19258 3.28076 2.40241 0.249175
22 2.95278 1.46602 0.196795 5.19278 2.52925 0.269316
23 2.95278 1.53066 0.198844 5.19278 2.64505 0.282196
24 2.95278 1.58992 0.199387 4.02418 2.70252 0.276226
25 2.87607 1.64136 0.198044 2.73899 2.70398 0.26495
26 2.87607 1.68885 0.196112 4.97846 2.79146 0.269168
27 3.67954 1.76258 0.2026 4.97846 2.87246 0.271378
28 4.11881 1.84673 0.212594 4.97846 2.94767 0.272108
29 4.04049 1.92238 0.218636 4.97846 3.0177 0.271735
30 4.04049 1.99298 0.22271 2.86901 3.01274 0.262568
31 2.99481 2.0253 0.217817 2.86901 3.00811 0.253999
32 2.99481 2.0556 0.213066 2.86901 3.00376 0.245972
33 2.06895 2.056 0.206508 2.86901 2.99968 0.238437
34 1.92698 2.05221 0.200379 2.86901 2.99583 0.23135
35 2.53523 2.06601 0.195058 2.86901 2.99221 0.224672
36 2.53523 2.07904 0.19001 3.24946 2.99935 0.218459
37 1.86214 2.07318 0.184896 3.24946 3.00611 0.21258
38 1.03555 2.04587 0.182025 3.24946 3.01252 0.207009
39 1.03555 2.01997 0.179178 3.24946 3.01859 0.201723
40 0.861874 1.99101 0.177025 2.71105 3.01091 0.196765
41 0.861874 1.96347 0.174836 2.71105 3.00359 0.192045
42 1.38022 1.94959 0.171187 4.48827 3.03894 0.190722
43 1.38022 1.93635 0.167682 1.52321 3.00369 0.18954
44 1.38022 1.92371 0.164313 3.20344 3.00823 0.185238
45 1.38022 1.91163 0.161074 3.20344 3.01257 0.181127
46 1.38022 1.90008 0.157956 3.54572 3.02416 0.177524
47 1.38022 1.88902 0.154954 3.16086 3.02707 0.17373
48 1.38022 1.87842 0.152062 2.77183 3.02175 0.170156
49 1.38022 1.86825 0.149273 4.08202 3.04339 0.168046
50 1.03331 1.85155 0.147207 4.08202 3.06416 0.165956
51 1.20759 1.83892 0.144843 4.90886 3.10033 0.166642
52 1.22654 1.82715 0.142518 7.5454 3.18581 0.184414
53 1.22654 1.81581 0.140262 7.5454 3.26807 0.198725
54 1.31758 1.80659 0.137948 7.5454 3.34728 0.210483
55 1.93795 1.80898 0.135438 6.23434 3.39977 0.213184
56 1.69601 1.80696 0.133013 6.41059 3.45354 0.216136
57 1.69601 1.80501 0.130673 5.85474 3.49566 0.21645
58 2.23561 1.81244 0.128615 3.36251 3.49337 0.212697
59 2.23561 1.81961 0.126619 3.36251 3.49115 0.209073
60 2.23405 1.82652 0.124683 3.36251 3.48901 0.20557
61 2.23405 1.8332 0.122803 5.55134 3.52281 0.204979
62 2.23405 1.83966 0.120979 5.55134 3.55553 0.204283
63 1.60741 1.83598 0.119101 5.55134 3.58721 0.203496
64 1.97156 1.83809 0.117244 5.55134 3.6179 0.202628
65 1.97156 1.84015 0.115445 4.76425 3.63554 0.200265
66 2.37061 1.84819 0.113966 3.02132 3.62623 0.197426
67 2.37061 1.85598 0.112522 3.02132 3.6172 0.194667
68 2.24378 1.86169 0.111002 3.02132 3.60844 0.191983
69 2.24378 1.86722 0.109521 3.02132 3.59993 0.189371
70 2.24378 1.8726 0.108079 3.02132 3.59166 0.186829
71 2.24378 1.87783 0.106674 3.02132 3.58363 0.184354
72 1.41783 1.87144 0.105376 3.02132 3.57582 0.181943
73 1.42115 1.86527 0.104106 3.02132 3.56823 0.179594
74 1.08499 1.85473 0.103229 3.02132 3.56084 0.177305
75 1.08499 1.84447 0.102359 3.02132 3.55364 0.175073
76 1.08499 1.83447 0.101497 4.2107 3.56229 0.17297
77 1.08499 1.82474 0.100642 4.2107 3.57071 0.170916
78 1.24762 1.81734 0.099618 4.79632 3.58642 0.169441
79 1.24762 1.81013 0.098613 4.79632 3.60174 0.167982
80 0.76647 1.79708 0.0982426 4.79632 3.61667 0.16654
