# Simulated Annealing
# Total number of throws: M = 10000
# Number of blocks: N = 100
# Throws per block: L = 100
# Initial position: x0 = 0
# Uniform proposal half-width for Metropolis: delta = 1.2
# Initial parameters: (mu,sigma) = (1, 0.5)
# Initial value of beta = 1
# Beta increment = 1
# Number of optimization steps for each beta value = 50
# delta_mu = 0.5
# delta_sigma = 0.5
# Required precision on mu: err_mu = 0.01
# Required precision on sigma: err_sigma = 0.01
# Columns:
# 1) beta
# 2) mu
# 3) sigma
# 4) H_old
# 4) err_old
# 5) Acceptance rate: A = accepted/attempted
1 0.764464 0.855691 -0.257163 0.0316594 0.7594
1 0.764464 0.855691 -0.257163 0.0316594 0.8155
1 1.14366 0.590078 0.0220858 0.0320733 0.548
1 1.14366 0.590078 0.0220858 0.0320733 0.187
1 1.14366 0.590078 0.0220858 0.0320733 0.1103
1 1.14366 0.590078 0.0220858 0.0320733 0.1063
1 1.14366 0.590078 0.0220858 0.0320733 0.5848
1 0.78364 1.00665 0.143433 0.100263 0.7628
1 0.589176 1.14603 -0.0336473 0.0618755 0.7481
1 0.222546 1.15596 -0.0644451 0.0833375 0.7226
1 0.689721 0.996226 -0.0404199 0.0621899 0.7471
1 0.566225 0.905334 -0.252695 0.0292623 0.7078
1 0.229114 1.13553 -0.0840487 0.0609414 0.706
1 0.566411 0.740786 -0.312094 0.0122506 0.6771
1 0.566411 0.740786 -0.312094 0.0122506 0.8147
1 1.05551 0.355335 0.738959 0.0512397 0.3321
1 0.858103 0.726849 -0.345716 0.0257118 0.7744
1 0.597851 0.631574 -0.293542 0.0104299 0.6904
1 0.597851 0.631574 -0.293542 0.0104299 0.5865
1 0.46617 0.406494 0.170335 0.0300952 0.6308
1 0.523935 0.822074 -0.290273 0.017165 0.6902
1 0.71427 1.00295 -0.0997826 0.0818847 0.7598
1 0.3966 1.29845 0.200966 0.0868301 0.7579
1 0.3966 1.29845 0.200966 0.0868301 0.7769
1 0.0786577 1.44089 0.78778 0.27437 0.7732
1 -0.168159 0.958197 -0.275885 0.0139568 0.6806
1 -0.168159 0.958197 -0.275885 0.0139568 0.7742
1 -0.118276 1.31052 0.372134 0.188862 0.7493
1 -0.118276 1.31052 0.372134 0.188862 0.8235
1 -0.500509 1.32464 0.54055 0.130798 0.7743
1 -0.373869 1.668 2.84833 0.453456 0.8084
1 -0.0558524 1.26977 0.1277 0.0960197 0.7443
1 0.0846296 1.0698 -0.266592 0.0224507 0.704
1 0.0846296 1.0698 -0.266592 0.0224507 0.7924
1 0.369223 0.705834 -0.11724 0.0179727 0.6238
