# Energy calculation - Metropolis algorithm
# Total number of throws: M = 1000000
# Number of blocks: N = 1000
# Throws per block: L = 1000
# Initial position: x0 = 0
# Uniform proposal half-width: delta = 1.2
# Acceptance rate: A = accepted/attempted = 0.670042
# Wavefunction parameters: (mu,sigma) = (-0.860813, 0.582034)
# Columns:
# 1) block index
# 2) block average
# 3) progressive average
# 4) progressive statistical uncertainty
1 -0.410314 -0.410314 0
2 -0.399735 -0.405024 0.00528942
3 -0.455042 -0.421697 0.01695
4 -0.394999 -0.415022 0.0137185
5 -0.439831 -0.419984 0.0117277
6 -0.388092 -0.414669 0.0109519
7 -0.409194 -0.413887 0.00928906
8 -0.371867 -0.408634 0.00960747
9 -0.409147 -0.408691 0.00847318
10 -0.443787 -0.412201 0.00835183
11 -0.398803 -0.410983 0.00765208
12 -0.43815 -0.413247 0.00734306
13 -0.375872 -0.410372 0.00734102
14 -0.431801 -0.411902 0.0069667
15 -0.334835 -0.406765 0.00827409
16 -0.430327 -0.408237 0.00787856
17 -0.431759 -0.409621 0.00752885
18 -0.434412 -0.410998 0.00723066
19 -0.385825 -0.409673 0.00696666
20 -0.410419 -0.409711 0.00660926
21 -0.417439 -0.410079 0.00629743
22 -0.420845 -0.410568 0.00602427
23 -0.440246 -0.411858 0.00589924
24 -0.449521 -0.413428 0.00586205
25 -0.44753 -0.414792 0.00578578
26 -0.404223 -0.414385 0.00557364
27 -0.431819 -0.415031 0.00540197
28 -0.449255 -0.416253 0.00534704
29 -0.407657 -0.415957 0.00516787
30 -0.402055 -0.415493 0.0050141
31 -0.45663 -0.41682 0.00502793
32 -0.343255 -0.414521 0.00538378
33 -0.416628 -0.414585 0.00521848
34 -0.443146 -0.415425 0.00513189
35 -0.46729 -0.416907 0.00519877
36 -0.382197 -0.415943 0.00514347
37 -0.469604 -0.417393 0.00520852
38 -0.403146 -0.417018 0.00508344
39 -0.374304 -0.415923 0.00507107
40 -0.417389 -0.41596 0.0049428
41 -0.405001 -0.415692 0.00482814
42 -0.396631 -0.415239 0.00473359
43 -0.445381 -0.41594 0.00467505
44 -0.45861 -0.416909 0.00466938
45 -0.47202 -0.418134 0.00472588
46 -0.366314 -0.417008 0.0047573
47 -0.3944 -0.416527 0.00467977
48 -0.394393 -0.416065 0.00460438
49 -0.433387 -0.416419 0.00452327
50 -0.323496 -0.41456 0.00480577
51 -0.381779 -0.413918 0.00475425
52 -0.435777 -0.414338 0.00468084
53 -0.429283 -0.41462 0.00460032
54 -0.434467 -0.414988 0.00452927
55 -0.405549 -0.414816 0.00444946
56 -0.440973 -0.415283 0.00439418
57 -0.378416 -0.414636 0.00436459
58 -0.447852 -0.415209 0.00432675
59 -0.437834 -0.415592 0.00427003
60 -0.429985 -0.415832 0.00420511
61 -0.386667 -0.415354 0.00416315
62 -0.444862 -0.41583 0.00412301
63 -0.412268 -0.415774 0.00405743
64 -0.426689 -0.415944 0.00399717
65 -0.455189 -0.416548 0.00398124
66 -0.436792 -0.416855 0.00393244
67 -0.411623 -0.416777 0.00387409
68 -0.444712 -0.417187 0.00383874
69 -0.411222 -0.417101 0.00378368
70 -0.424692 -0.417209 0.00373081
71 -0.381072 -0.4167 0.00371294
72 -0.431959 -0.416912 0.00366714
73 -0.440915 -0.417241 0.00363147
74 -0.430823 -0.417425 0.00358676
75 -0.44121 -0.417742 0.0035528
76 -0.452336 -0.418197 0.00353517
77 -0.427702 -0.41832 0.00349114
78 -0.457162 -0.418818 0.00348188
79 -0.419316 -0.418825 0.00343753
80 -0.421046 -0.418852 0.0033944
81 -0.422022 -0.418892 0.00335246
82 -0.463436 -0.419435 0.00335559
83 -0.432281 -0.41959 0.00331852
84 -0.460883 -0.420081 0.00331542
85 -0.40095 -0.419856 0.00328391
